category,city,fax,phonenumber_three,province,description,url,phonenumber_four,website,subcategory_two,subcategory_three,subcategory_one,address_two,lead_source,phonenumber_five,phonenumber_two,company_name,address,keywords,email_address,phonenumber_one
General Merchandise,,,,,"Ronnen General Merchandise is a DTI registered business with DTI Certificate No. 00566051. We are on to wholesale and retail of infants, kids and adults wear. We are also supplying baby essentials to different provinces and some to Metro Manila. Right now, we only have our online shop at multiply. Soon, we\'ll be having our own showroom. We are open to resellers and distributors, especially to provinces who wants to earn extra income by selling apparels and other home essentials. Please contact us thru email or mobile phone.  ",,,myprincessmaxine.multiply.com,,,,,,,,RONNEN GENERAL MERCHANDISE,Blk 34 San JuanTaytay Rizal,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=mJSY77sK1Lvji4MqTymfAzlfvKWtVoSIgpv-II6vTs4= http://myprincessmaxine.multiply.com,+639285053621
Colleges and Universities,,,,,CHED Certified Higher Education Institution ,,,,,,,,,,,National College of Business and Arts-Taytay,Brgy. San JuanTaytay Rizal,,,(02) 658-6992/660-7895/658-7104
Furniture and Houseware,,,,,"J.A. EUSTAQUIO ENTERPRISES is a Furniture and Houseware located in 4 CRUIZERO ST., MERALCO VILL. BRGY. SAN JUAN Taytay Rizal ",,,,,,,,,,,J.A. EUSTAQUIO ENTERPRISES,"4 CRUIZERO ST., MERALCO VILL. BRGY. SAN JUANTaytay Rizal",,,660 7586
"Toys, Souvenirs, Gifts, Jewelry and Decors",,,,,"Piazza, Incorporated is a Toys, Souvenirs, Gifts, Jewelry and Decors located in 9 Camia St., Royal Subd., San Juan Taytay Rizal ",,,www.piazza.com,,,,,,,,"Piazza, Incorporated","9 Camia St., Royal Subd., San JuanTaytay Rizal",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=KHwwDrMRcNg426C9ZJspGFgLpns8KrRqqYu27JjF580= http://www.piazza.com,(632) 286-5047
,,,,,,,,,,,,,,,,,,,,
"Toys, Souvenirs, Gifts, Jewelry and Decors",,,,,"JC JEM'S INTERNATIONAL EXPORT, INC. is a Toys, Souvenirs, Gifts, Jewelry and Decors located in JC JEM's Compound, Brgy. San Juan, Taytay Rizal ",,,,,,,,,,,"JC JEM'S INTERNATIONAL EXPORT, INC.","JC JEM's Compound, Brgy. San Juan,Taytay Rizal",,,(632) 658-0840 / (632) 658-0841
Cooperative,,,,,Sto. Tomas de Villanueva Parish Multi-Purpose Cooperative is a Cooperative located in Multi-Purpose #3 Gabriel St. Santolan Pasig City Metro Manila ,,,,,,,,,,,Sto. Tomas de Villanueva Parish Multi-Purpose Cooperative,Multi-Purpose #3 Gabriel St. SantolanPasig City Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=wzPyWY_EYLvTkVFqL3f3FGL0mZm3jO9hVk7iC0NfEDU=,682-4459
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Educational Institutions,,,,," Ms. Teresita V. Javier Institution Offers Primary, Education ",,,,,,,,,,,St. Reymond's Nursery and Kindergarten Sch.,"69 Saudi Arabia St., Better LivingParanaque Metro Manila",,,823-47-19
Cargo Forwarding,,,,,"SOUTHLINK TRANSPORT CORPORATION is a Cargo Forwarding business in Bacoor,Cavite ",,,,,,,,,,,SOUTHLINK TRANSPORT CORPORATION,222 NIOG IIIBacoor Cavite,,,(02)533-2042
Sari Sari Store,,,,,"CATHRYNE'S STORE is a SARI-SARI STORE business in SAN FERNANDO ,PAMPANGA ",,,,,,,,,,,CATHRYNE'S STORE,SAN NICOLAS SAN FERNANDO  PAMPANGA,,,(045) 860-3071
Public High School,,,,,"Gatbo National High School is a DepED Managed partially urban Secondary Public School located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Gatbo National High School,City Of Sorsogon (Capital) Sorsogon,,,9192086151
Public High School,,,,,"Celestino G. Tabuena Memorial NHS is a DepED Managed partially urban Secondary Public School located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Celestino G. Tabuena Memorial National High School,City Of Sorsogon (Capital) Sorsogon,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=jdOachf1b7Xbk2xzEiYzwGX7xdhrL7D2rsy-c11JvXo=,9189039386
"Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Food And Foodstuff, Groce",,,,,"Maro's Store And Carinderia is a   Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Food And Foodstuff, Groceries, Markets And Convenience Stores business located in 239 Road 11, Quezon City Metro Manila. For more information you can contact them at: 0926 434 2210 ",,,,,,,,,,,Maro's Store And Carinderia,239 Road 11Quezon City Metro Manila,,,0926 434 2210
Sari Sari Store,,,,,"DARWILL'S STORE is a Sari-sari Store business in MARIKINA,METRO MANILA ",,,,,,,,,,,DARWILL'S STORE,MINAHAN STREETMARIKINA METRO MANILA,,,948-0811
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sari Sari Store,,,,,"CRISTINA'S STORE is a Sari-sari Store business in MARIKINA,METRO MANILA ",,,,,,,,,,,CRISTINA'S STORE,"OPAL STREET, MINAHAN ROADMARIKINA METRO MANILA",,,948-0893
Eatery - Carinderia,,,,,"BABY'S LUTONG ULAM is a Eatery - Carinderia business in MARIKINA,METRO MANILA ",,,,,,,,,,,BABY'S LUTONG ULAM,MINAHAN STREETMARIKINA METRO MANILA,,,
Sari Sari Store,,,,,"CHARITO Sari Sari Store is a Sari Sari Store business in PASIG ,METRO MANILA ",,,,,,,,,,,CHARITO Sari Sari Store,"LOT II BKL 2 ABOCADO ST.,PASIG  METRO MANILA",,,
Automatic Teller Machines,,,,,"This Bancnet ATM is located at QUEZON AVE. COR. D. TUAZON ST., QUEZON CITY, METRO MANILA.  In keeping abreast with the evolving needs of bank clients, BancNet has introduced several innovations that have transformed the ATM card to a multifunction debit card.  Aside from the traditional cash withdrawal and balance inquiry service, BancNet also provides a wide range of services available through the ATM such as:  Bills Payment Checkbook Request Credit Card Cash Advance Intra/ Inter Bank Funds Transfer Prepaid Phone Reload  Through interconnection with other ATM consortia in the country- Expressnet and Megalink, and international card networks VISA, Diners Club, Discover Card, JCB and China Union Pay, BancNet provides not only the widest nationwide access to their accounts but worldwide convenience as well. ",,,www.bancnetonline.com,,,,,,,,CHINA BANK Bancnet ATM,CHINA BANK QUEZON AVE. COR. D. TUAZON ST.QUEZON CITY METRO MANILA,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=RX7wI8xSQieuU_2OjpKaYG75UQpv2kSxzTZ0HRygzpQ= http://www.bancnetonline.com,
Automatic Teller Machines,,,,,"This Bancnet ATM is located at RETIRO COR. D. TUAZON ST., QUEZON CITY, METRO MANILA.  In keeping abreast with the evolving needs of bank clients, BancNet has introduced several innovations that have transformed the ATM card to a multifunction debit card.  Aside from the traditional cash withdrawal and balance inquiry service, BancNet also provides a wide range of services available through the ATM such as:  Bills Payment Checkbook Request Credit Card Cash Advance Intra/ Inter Bank Funds Transfer Prepaid Phone Reload  Through interconnection with other ATM consortia in the country- Expressnet and Megalink, and international card networks VISA, Diners Club, Discover Card, JCB and China Union Pay, BancNet provides not only the widest nationwide access to their accounts but worldwide convenience as well. ",,,www.bancnetonline.com,,,,,,,,ALLIED BANK Bancnet ATM,ALLIED BANK RETIRO COR. D. TUAZON ST.QUEZON CITY METRO MANILA,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=RX7wI8xSQieuU_2OjpKaYG75UQpv2kSxzTZ0HRygzpQ= http://www.bancnetonline.com,
Educational Institutions,,,,," Ms. Virginia P. Sanchez Institution Offers Primary, Education ",,,,,,,,,,,Morning Dew Montessori Center,"22 A. Tuazon Dt., De La PazMarikina Metro Manila",,,
Junk Shop,,,,,"RONIDEL JUNKSHOP is a Junk Shop business in PASIG ,METRO MANILA ",,,,,,,,,,,RONIDEL JUNKSHOP,8569 PHS II VILLA CUANA LANGKA ST.PASIG  METRO MANILA,,,
Sari Sari Store,,,,,"LIAN'S STORE is a Sari-sari Store business in MARIKINA,METRO MANILA ",,,,,,,,,,,LIAN'S STORE,LANGKA ST.MARIKINA METRO MANILA,,,934-4991
"Hospitals, Medical And Dental Supplies",,,,,"Mercury Drug - Mindanao - Congressional is a  Hospitals, Medical And Dental Supplies business located in Mindanao Avenue, Quezon City Metro Manila. For more information you can contact them at: 02 920-7643 ",,,,,,,,,,,Mercury Drug - Mindanao - Congressional,Mindanao AvenueQuezon City Metro Manila,,,02 920-7643
"Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Con",,,,,"Lizaly Store is a  Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Convenience Stores business located in Road 1, Quezon City Metro Manila. For more information you can contact them at: +63 916 137 4645 ",,,,,,,,,,,Lizaly Store,Road 1Quezon City Metro Manila,,,+63 916 137 4645
"Hospitals, Medical And Dental Supplies",,,,,"Luz Facial Care is a  Hospitals, Medical And Dental Supplies business located in Congressional Avenue, Quezon City Metro Manila. For more information you can contact them at: 024559399 ",,,,,,,,,,,Luz Facial Care,Congressional AvenueQuezon City Metro Manila,,,024559399
"Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Con",,,,,"Emelyn Store  is a  Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Convenience Stores business located in Palawan, Quezon City Metro Manila. For more information you can contact them at: +63 939 214 7942 ",,,,,,,,,,,Emelyn Store,PalawanQuezon City Metro Manila,,,+63 939 214 7942
"Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Con",,,,,"Princess Janelle Store is a  Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Convenience Stores business located in Palawan, Quezon City Metro Manila. For more information you can contact them at: +63 947 353 9049 ",,,,,,,,,,,Princess Janelle Store,PalawanQuezon City Metro Manila,,,+63 947 353 9049
"Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Con",,,,,"Jo Store is a  Agricultural Industries, Books, Schools Supplies And Office Supplies, Cosmetics And Herbal Products, Groceries, Markets And Convenience Stores business located in Palawan, Quezon City Metro Manila. For more information you can contact them at: +63 999 978 9408 ",,,,,,,,,,,Jo Store,PalawanQuezon City Metro Manila,,,+63 999 978 9408
"Hospitals, Medical And Dental Supplies",,,,,"Genequipt (Showroom) is a  Hospitals, Medical And Dental Supplies business located in Congressional Avenue, Quezon City Metro Manila. For more information you can contact them at: (+632) 455 1238 ",,,,,,,,,,,Genequipt (Showroom),Congressional AvenueQuezon City Metro Manila,,,(+632) 455 1238
,,,,,,,,,,,,,,,,,,,,
Construction Supplies,,,,,"Trendway Builders, Inc. is a Construction Supplies business located in Congressional Avenue, Quezon City Metro Manila. For more information you can contact them at: +63 2 426 4230 ",,,,,,,,,,,"Trendway Builders, Inc.",Congressional AvenueQuezon City Metro Manila,,,+63 2 426 4230
"Cosmetics And Herbal Products, Hospitals, Medical And Dental Supplies",,,,,"Herbal Center is a Cosmetics And Herbal Products, Hospitals, Medical And Dental Supplies business located in Congressional Avenue, Quezon City Metro Manila. For more information you can contact them at: +63 2 925 3545 ",,,,,,,,,,,Herbal Center,Congressional AvenueQuezon City Metro Manila,,,+63 2 925 3545
Public High School,,,,,"Abuyog National High School is a DepED Managed partially urban Secondary Public School located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Abuyog National High School,City Of Sorsogon (Capital) Sorsogon,,,9127319609
Public Elementary School,,,,,"Sto. Nino Integrated School is a DepED Managed partially urban public Kinder & Elementary school located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Sto. Nino Integrated School,City Of Sorsogon (Capital) Sorsogon,,,9196793655
Public Elementary School,,,,,"Sawanga Elementary School is a DepED Managed partially urban public Kinder & Elementary school located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Sawanga Elementary School,City Of Sorsogon (Capital) Sorsogon,,,9106905672
Public Elementary School,,,,,"San Lorenzo Elementary School is a DepED Managed partially urban public Kinder & Elementary school located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,San Lorenzo Elementary School,City Of Sorsogon (Capital) Sorsogon,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=PYv5EjJVGjLOhBAgh5KT4ODMZpAv0pwWMxma94Vj_50=,9475481949
Public Elementary School,,,,,"Panlayaan Elementary School is a DepED Managed partially urban public Kinder & Elementary school located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Panlayaan Elementary School,City Of Sorsogon (Capital) Sorsogon,,,9094983164
Public Elementary School,,,,,"Gimaloto Elementary School is a DepED Managed partially urban public Kinder & Elementary school located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Gimaloto Elementary School,City Of Sorsogon (Capital) Sorsogon,,,9465284054
Public Elementary School,,,,,"Cambulaga Elementary School is a DepED Managed partially urban public Kinder & Elementary school located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Cambulaga Elementary School,City Of Sorsogon (Capital) Sorsogon,,,9263337017
,,,,,,,,,,,,,,,,,,,,
Public Elementary School,,,,,"Cabid-an Elementary School is a DepED Managed partially urban public Kinder & Elementary school located in City Of Sorsogon (Capital), Sorsogon. ",,,,,,,,,,,Cabid-an Elementary School,City Of Sorsogon (Capital) Sorsogon,,,9187911898
TAILORING SHOP,,,,,"BIG J ALFARO SPORTING GOODS is a TAILORING SHOP business in SAN FERNANDO ,PAMPANGA ",,,,,,,,,,,BIG J ALFARO SPORTING GOODS,SAN NICOLAS SAN FERNANDO  PAMPANGA,,,(045) 961-4103
MACHINE SHOP,,,,,"ARIES ENGINEERING & MACHINE WORKS INC. is a MACHINE SHOP business in SAN FERNANDO ,PAMPANGA ",,,,,,,,,,,ARIES ENGINEERING & MACHINE WORKS INC.,SAN NICOLAS SAN FERNANDO  PAMPANGA,,,(045) 961-5743
TRADING,,,,,"AMATEC CONSTRUCTION AND MARBLE SUPPLY is a TRADING business in SAN FERNANDO ,PAMPANGA ",,,,,,,,,,,AMATEC CONSTRUCTION AND MARBLE SUPPLY,SAN NICOLAS SAN FERNANDO  PAMPANGA,,,
Sari Sari Store,,,,,"AMALIA BRAGANZA SARI-SARI STORE is a SARI-SARI STORE business in SAN FERNANDO ,PAMPANGA ",,,,,,,,,,,AMALIA BRAGANZA SARI-SARI STORE,SAN NICOLAS SAN FERNANDO  PAMPANGA,,,0921-5508724
CANTEEN,,,,,"ACUZAR CANTEEN is a CANTEEN business in SAN FERNANDO ,PAMPANGA ",,,,,,,,,,,ACUZAR CANTEEN,SAN NICOLAS SAN FERNANDO  PAMPANGA,,,9098033881
Printers,,,,,"St Jo Printing Press  is a Printers  business in San Fernando ,Pampanga ",,,,,,,,,,,St Jo Printing Press,San NicolasSan Fernando  Pampanga,,,(045) 9000776
Churches,,,,,"San Agustin Parish Church  is a Churches  business in San Fernando ,Pampanga ",,,,,,,,,,,San Agustin Parish Church,San NicolasSan Fernando  Pampanga,,,(045) 9716505
,,,,,,,,,,,,,,,,,,,,
Radio Stations & Broadcasting Companies,,,,,"Radyo Pilipino Corporation  is a Radio Stations & Broadcasting Companies business in San Fernando ,Pampanga ",,,,,,,,,,,Radyo Pilipino Corporation,San NicolasSan Fernando  Pampanga,,,(045) 9822921
Hardware,,,,,"Marimla Construction Supply  is a Hardware  business in San Fernando ,Pampanga ",,,,,,,,,,,Marimla Construction Supply,San NicolasSan Fernando  Pampanga,,,(045) 9230543
"Hospitals, Medical and Dental Services",,,,,"TMJ -Orthodontics-Orthopedics-Dental health Medicine (Snoring & Sleep Apnea Management)- General Dentistry, Oral Surgery, Implantology ",,,www.jlgalangdentalgroup.com,,,,,,,,JL GALANG DENTAL CLINIC,Pamp.EENT and Gen.Hospital 17 San NicolasCity of San Fernando Pampanga,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=tZbkbgcTSe7dwHGWCXXyTud87zsZMMZaO72fIVn_QrI= http://www.jlgalangdentalgroup.com,045-9612751/ 045-8603849/ 09215551246
TRAVEL AGENCY,,,,,"REGGINE TOURS AND TRAVEL is a TRAVEL AGENCY business in BACOOR ,CAVITE ",,,,,,,,,,,REGGINE TOURS AND TRAVEL,"219-1, NIOG III,BACOOR  CAVITE",,,(046)571-0858 / 571-0858
TRAVEL AGENCY,,,,,"AIR BREAK TRAVEL & TOURS SERVICES is a TRAVEL AGENCY business in Las Pinas,METRO MANILA ",,,,,,,,,,,AIR BREAK TRAVEL & TOURS SERVICES,63 PALM DRIVE REMARVILLE SUBD. / 7 Casals Bldg Philamlife Ave Pamplona DosLas Pinas METRO MANILA,,,
TRAVEL AGENCY,,,,,"JERO TRAVEL AND TOURS is a TRAVEL AGENCY business in Las Pinas,METRO MANILA ",,,,,,,,,,,JERO TRAVEL AND TOURS,B2 L54 CASIMIRO TOWN HOMES ZAPOTE / STARMALL C. V. Starr Ave Pamplona DosLas Pinas METRO MANILA,,,09279855596
TRANSPORTATION SERVICES,,,,,"JOHN MIGS & BRI GELO TRANSPORT SERVICES CORP is a TRANSPORTATION SERVICES business in Las Pinas,METRO MANILA ",,,,,,,,,,,JOHN MIGS & BRI GELO TRANSPORT SERVICES CORP,6 THELMA ROAD VILLA CRISTINA SUBD Pamplona DosLas Pinas METRO MANILA,,,
TRAVEL AGENCY,,,,,"TZION TRAVEL & TOURS is a TRAVEL AGENCY business in Las Pinas,METRO MANILA ",,,,,,,,,,,TZION TRAVEL & TOURS,17 APACIBLE ST. PHILAM VILL. PAMPLONA II LAS PINAS / 17 B. Apacible St. Phil-Am Life Village Pamplona DosLas Pinas METRO MANILA,,,2155221
TRAVEL AGENCY,,,,,"SMART CHOICE TRAVEL AND TOURS is a TRAVEL AGENCY business in Las Pinas,METRO MANILA ",,,,,,,,,,,SMART CHOICE TRAVEL AND TOURS,B4 L11 PH5 PACITA COMPLEX SAN PEDRO LAGUNA / 182 PPD2 Santiaguel Bldg Alabang-Zapote Rd Pamplona DosLas Pinas METRO MANILA,,,09293402503
TRANSPORTATION SERVICES,,,,,"LLRP TRANSPORT SERVICES is a TRANSPORTATION SERVICES business in Las Pinas,METRO MANILA ",,,,,,,,,,,LLRP TRANSPORT SERVICES,4-B LIBRA ST Pamplona Park Subd Pamplona DosLas Pinas METRO MANILA,,,09266997349
,,,,,,,,,,,,,,,,,,,,
SHIPPING,,,,,"ABOITIZ TRANSPORT SYSTEM (ATSC) CORPORATION is a SHIPPING business in Las Pinas,METRO MANILA ",,,,,,,,,,,ABOITIZ TRANSPORT SYSTEM (ATSC) CORPORATION,12/F TIMES PLAZA BLDG. UNITED NATIONS AVE. COR TAFT AVE. ERMITA MANILA 1000 / LOWER GROUND FLOOR LEVEL SM CENTER Alabang-Zapote Rd Pamplona DosLas Pinas METRO MANILA,,,5287609
TRANSPORTATION SERVICES,,,,,"ASTSEA EXPRESS TRANSPORT SERVICE is a TRANSPORTATION SERVICES business in Las Pinas,METRO MANILA ",,,,,,,,,,,ASTSEA EXPRESS TRANSPORT SERVICE,46 VERDANT AVE. PAMPLONA III / L15 32-B Capricorn St. Pamplona Park Subd Pamplona DosLas Pinas METRO MANILA,,,9153154444
Food and Foodstuff,,,,,"ASIA UNITED INTERNATIONAL TRADING INC. is a Food and Foodstuff located in Unit 5B Washington Tower, Asia World City E. Aguinaldo Blvd. Paranaque City Metro Manila ",,,,,,,,,,,ASIA UNITED INTERNATIONAL TRADING INC.,"Unit 5B Washington Tower, Asia World City E. Aguinaldo Blvd.Paranaque City Metro Manila",,,632 8798277
Public Elementary School,,,,,"Don Galo ES is a DepED Managed urban public Elementary school located in City Of Parañaque, City Of Parañaque. ",,,,,,,,,,,Don Galo Elementary School,J. Gabriel St.City Of Parañaque City Of Parañaque,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=yy2aB0twIwKnii45wVRJx8JGUvQo5YRMYXgzJLwsqP0=,5011958
Educational Institutions,,,,,Tesda Authorized Training Center ,,,,,,,,,,,RBS Talent Promotion and Training Center,"0026 BDG Bldg., Third Flr. Quirino Ave., Tamaraw Court TamboParanaque City Metro Manila",,,
Furniture and Houseware,,,,,"Living room, dining room furniture ",,,,,,,,,,,INTERNATIONAL CANES PRODUCTS INC.,"#695 Quirino Avenue, Tambo, Parañaque City, Metro Manila, PhilippinesParañaque Metro Manila",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=Z-ep_7pxkhPtgez0bfnXto9lgO-9aWxPOxQSblYDxAE=,+63 2 834. 1907; 851. 6008
Public Elementary School,,,,,"Tambo ES I is a DepED Managed urban public Elementary school located in City Of Parañaque, City Of Parañaque. ",,,,,,,,,,,Tambo ES I,-C. SantosCity Of Parañaque City Of Parañaque,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=TWxvboQpkCMSlLXxVrCBFFI13NKdK5oxcwQROMPYRO8=,851-23-55
Courier Services,,,,,"The SPSts Int'l Courier Services is committed to provide trust and satisfactory pick-up and delivery services to our valued important clients.To cater medical requirements such like health and sanitation, medicines to keep help support the drive for clean and healthy living. ",,,,,,,,,,,SPSts International Courier Services,3246 Lopez de Leon Street TamboCITY OF PARAÃƒÂ‘AQUE NCR,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=cfvewVzInIhStpAv5eP7xjLYUDnYZCIUv9OqGcSXhI3gRRtr8zzd8yz7VAfWdRfG,02 8524428
Food and Beverage,,,,,"Haute Couture F&B Concepts, Inc. is a sister company of Hoopla, Inc. Unlike Hoopla though, (which is in the entertainment industry), Haute Couture F&B Concepts, Inc. is in the food service industry. Though it may be a considered a new player, similar to Hoopla, the company hopes to create an indelible imprint in its respective industry by providing products and services that are meant to address unmet needs in the market. Case in point, its very first venture, â€˜Fat Juanâ€™ has managed to be in a unique category by offering high-quality yet reasonably-priced Continental Asian dishes in a seemingly posh but not discriminating setting. Inspired by its name, â€˜Fat Juanâ€™ is all about good and filling food with a twist meant to satisfy oneâ€™s craving.  Haute Couture F&B Concepts, Inc. aims to produce more â€˜firstsâ€™ in the food service industry. It is committed to pursuing unparalleled and â€˜out-of-the-boxâ€™ executions that are always founded on solid research and sound consumer insights.  The common denominator that binds the companyâ€™s major stakeholders is not only their innate passion for their respective crafts, but also their undeniable dedication to make things happen.  ",,,,,,,,,,,HAUTE COUTURE F&B CONCEPTS INC,264 Quirino Avenue TamboCITY OF PARAÃ‘AQUE NCR,,,02 8511407
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Precision Tooling and A Trading Company,,,,,"Precision/Semi-precision Tooling Company,Complete Sheet Metal Fabrication and a Trading Company owned by Mr. Efren B. Arcos.  Trading Services Offers:  ~Laser Cutting Service ~Water Jet Cutting Service ~CNC Lathe Service ~CNC Mill Service ~Powder Coating Service ~Metal Plating Service (Chrome etc.) ~Supplies all kinds of Screws     ",,,,,,,,,,,South Tools and Trading Services,"Duplex Homes, Molino 4, Bacoor Cavite Molino IVBACOOR CAVITE",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=WVDxQy55WAzdK-nSTDewNwZTTXQCdTBcPVyzv1E62QI=,046 477 1475
corporation,,,,,Quality beyond reasonable cost Services: Precision Toolings Metal and Stainless Fabrication] Water jet/Laser cutting HVAC and Refrigeration Mechanical Consruction Escalator and Elevetor supplies and maintenance Cold storage construction Automation Services ,,,www.supersystems_engineering.com,,,,,,,,SUPERSYSTEMS TOOLINGS AND METALFAB INC,2nd Floor Supersystems Bldg Blk24 Lot 8 Francisco ReyesGEN. MARIANO ALVAREZ CAVITE,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=49ZVSLuPChig1otnDcdq5oG_imkLnTcY_54WafxR05w= http://www.supersystems_engineering.com,02-8681075
Advertising,,,,,"Specialize in signage fabrication and printing works...stickers,sign,digital print,stainless & steel metal fabrication..panaflex sign,builtup letters,neon sign,directional sign,road sign,luminous glow in the dark signages, reflective sign,stainless and brass sign..corporate giveaways.. ",,,,,,,,,,,ADV SIGNPRO ADVERTISING,B4 L16 strawberry st.camella west springville Molino IIIBACOOR CAVITE,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=CFk-x3cGCOORSynIjWpzh0vgcGtt60WM1OvtY3HGqTE=,(046)512-02-29
water treatment,,,,,"Body Guard Water Purifier is located at Consolacion, Cagayan de Oro City. At Body Guard Water Purifier, we assure you of clean and safe water for drinking and other purposes. We cater to your need for quality water treatment. For more info visit us at www.bgwaterfilter.com or call us now 0927 775 9502! ",,,,,,,,,,,Body Guard Water Purifier,"Block 4, Lot 2, Isla Bugnaw, Dist. 3 ConsolacionCAGAYAN DE ORO CITY  MISAMIS ORIENTAL",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=q7_Yby17FYdgFaMBiCeIBeUcw_TVYjRncy0LhkqpGKY=,0927 775 9502
Restaurants,,,,,"Chowking  is a Restaurants business in Davao City ,Davao ",,,,,,,,,,,Chowking,Porras  Davao City  Davao,,,(082) 2241319
Clinics,,,,,"Novenario Manuel Escudero  is a Clinics business in Lucena ,Quezon ",,,,,,,,,,,Novenario Manuel Escudero,16 Quezon Ave Lucena City QuezonQuezon,,,(042) 710-4868
Colleges and Universities,,,,,CHED Certified Higher Education Institution ,,,,,,,,,,,City College of Lucena,Maharlika H-WayLucena City Quezon,,,(042) 373-1483
Educational Institutions,,,,,Tesda Certified Ladderized Program: BS  Information Management ,,,,,,,,,,,City College of Lucena,"Brgy. Iyam, Lucena City",,,
,,,,,,,,,,,,,,,,,,,,
Real Estate,,,,,"Pajarillo And Delfin Development Corporation  is a Real Estate  business in Lucena ,Quezon ",,,,,,,,,,,Pajarillo And Delfin Development Corporation,70 Allarey Lucena CityQuezon,,,(042) 710-3454
IT Solutions Provider,,,,,Software Development Outsourcing Website Development and Hosting ICT Hardware Infrastructure Set up and Maintenance Systems Development and Database Administration Systems Integration ICT Human Resource Outsourcing ICT Training  ,,,www.qtechbpo.com/,,,,,,,,Q-techBPO,3f SB Enverga St.Lucena Quezon,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=Ra-lKiKnX13tyyXYYPGqYYYnmBWQjscMwWmMnVsQ41o= http://www.qtechbpo.com/,042 660 7877 / +63 917 560-3284
,,,,,,,,,,,,,,,,,,,,
Food and Foodstuff,,,,,"FOOD PROCESSORS OF REGION IV-A is a Food and Foodstuff located in c/o DTI-Region IV-A, 2F Don Froilan Florez Bldg, Granja cor Enverga St, Lucena City Quezon ",,,,,,,,,,,FOOD PROCESSORS OF REGION IV-A,"c/o DTI-Region IV-A, 2F Don Froilan Florez Bldg, Granja cor Enverga St,Lucena City Quezon",,,+63 42 660 7656
